Crime Type,Complaint, Loss ,Percent of Total Complaints,Percent of Total Loss
Advanced Fee,105," $ 1,642,712.00 ",0.78%,0.206%
BEC,135," $ 30,256,592.00 ",1.00%,3.789%
Botnet,12," $ 697,226.00 ",0.09%,0.087%
Charity,19," $ 531,455.00 ",0.14%,0.067%
Confidence / Romance,626," $ 19,041,653.00 ",4.64%,2.385%
Credit Card / Check Fraud,139," $ 1,836,105.00 ",1.03%,0.230%
Data Breach,60," $ 4,319,380.00 ",0.44%,0.541%
Employment,691," $ 12,550,185.00 ",5.12%,1.572%
Extortion,1764," $ 2,940,642.00 ",13.07%,0.368%
Government Impersonation,260," $ 7,061,628.00 ",1.93%,0.884%
Harassment / Stalking,763," $ 1,445,378.00 ",5.65%,0.181%
Identity Theft,460," $ 1,643,308.00 ",3.41%,0.206%
Investment,4356," $ 632,041,188.00 ",32.28%,79.148%
IPR / Copyright and Counterfeit,63," $ 10,103,789.00 ",0.47%,1.265%
Lottery / Sweepstakes / Inheritance,54," $ 4,486,965.00 ",0.40%,0.562%
Malware,42," $ 1,248,199.00 ",0.31%,0.156%
Non-Payment / Non-Delivery,609," $ 3,726,777.00 ",4.51%,0.467%
Other,504," $ 11,750,591.00 ",3.73%,1.471%
Overpayment,13," $ 4,719.00 ",0.10%,0.001%
Personal Data Breach,1204," $ 18,767,964.00 ",8.92%,2.350%
Phishing / Spoofing,803," $ 10,283,732.00 ",5.95%,1.288%
Ransomware,16, $ -   ,0.12%,0.000%
Real Estate,115," $ 2,699,085.00 ",0.85%,0.338%
SIM Swap,14," $ 13,082.00 ",0.10%,0.002%
Tech / Customer Support,574," $ 19,457,078.00 ",4.25%,2.437%
Threats of Violence,95," $ 9,576.00 ",0.70%,0.001%
Total,13496," $ 798,559,009.00 ",100.00%,100.00%
Descriptors:,Not included in Totals,,,
Crimes Against Chilren,214," $ 9,866.00 ",1.59%,0.001%
Cryptocurrency,7623," $ 658,714,247.00 ",56.48%,82.488%
