Crime Type,Under 20 Victims,Under 20 Loss,Percent of Under 20 Victims,Percent of Under 20 Loss,Under 20 Percent of Total Victims,Under 20 Percent of Total Loss,Under 20 Annual Percent Change Victims,Under 20 Annual Percent Change Loss,20-29 Victims,20-29 Loss,Percent of 20-29 Victims,Percent of 20-29 Loss,20-29 Percent of Total Victims,20-29 Percent of Total Loss,20-29 Annual Percent Change Victims,20-29 Annual Percent Change Loss,30-39 Victims,30-39 Loss,Percent of 30-39 Victims,Percent of 30-39 Loss,30-39 Percent of Total Victims,30-39 Percent of Total Loss,30-39 Annual Percent Change Victims,30-39 Annual Percent Change Loss,40-49 Victims,40-49 Loss,Percent of 40-49 Victims,Percent of 40-49 Loss,40-49 Percent of Total Victims,40-49 Percent of Total Loss,40-49 Annual Percent Change Victims,40-49 Annual Percent Change Loss,50-59 Victims,50-59 Loss,Percent of 50-59 Victims,Percent of 50-59 Loss,50-59 Percent of Total Victims,50-59 Percent of Total Loss,50-59 Annual Percent Change Victims,50-59 Annual Percent Change Loss,60+ Victims,60+ Loss,Percent of 60+ Victims,Percent of 60+ Loss,60+ Percent of Total Victims,60+ Percent of Total Loss,60+ Annual Percent Change Victims,60+ Annual Percent Change Loss,Total Victims, Total Loss ,Total Annual Percent Change Victims,Total Annual Percent Change Loss
Advanced Fee,288," $ 327,823.00 ",0.96%,0.49%,4.26%,0.25%,30.91%,13.25%,991," $ 7,081,874.00 ",0.97%,1.26%,14.66%,5.40%,102.06%,158.10%,"1,170"," $ 13,311,458.00 ",0.94%,0.76%,17.31%,10.14%,106.15%,138.11%,"1,120"," $ 18,801,337.00 ",0.90%,0.64%,16.57%,14.33%,11.47%,34.77%,"1,169"," $ 25,811,979.00 ",1.08%,0.70%,17.30%,19.67%,115.86%,199.01%,"2,020"," $ 65,877,660.00 ",1.21%,0.88%,29.89%,50.21%,106.48%,158.27%,"6,758"," $ 131,212,131.00 ",109.58%,152.98%
Business Email Compromise (BEC),73," $ 15,137,360.00 ",0.24%,22.56%,0.37%,0.68%,-18.89%,36.77%,"1,250"," $ 45,754,756.00 ",1.23%,8.12%,6.41%,2.05%,156.25%,149.47%,"3,619"," $ 356,707,180.00 ",2.90%,20.44%,18.55%,16.01%,175.84%,172.17%,"5,090"," $ 624,292,591.00 ",4.09%,21.11%,26.09%,28.02%,57.36%,86.86%,"4,910"," $ 618,105,890.00 ",4.52%,16.81%,25.17%,27.74%,144.11%,170.91%,"4,566"," $ 568,048,472.00 ",2.73%,7.60%,23.41%,25.50%,138.36%,147.54%,"19,508"," $ 2,228,046,249.00 ",154.96%,171.67%
Botnet,106," $ 20,532.00 ",0.35%,0.03%,17.12%,0.27%,43.24%,34120.00%,155," $ 53,205.00 ",0.15%,0.01%,25.04%,0.71%,156.56%,173.20%,137," $ 383,680.00 ",0.11%,0.02%,22.13%,5.10%,173.15%,14257.90%,129," $ 5,923,019.00 ",0.10%,0.20%,20.84%,78.79%,158.18%,34.22%,56," $ 191,046.00 ",0.05%,0.01%,9.05%,2.54%,133.33%,9547.53%,36," $ 945,812.00 ",0.02%,0.01%,5.82%,12.58%,156.52%,6368.25%,619," $ 7,517,294.00 ",166.40%,43.32%
Charity,34," $ 41,917.00 ",0.11%,0.06%,5.57%,0.80%,N/A,N/A,87," $ 914,968.00 ",0.09%,0.16%,14.26%,17.39%,N/A,N/A,114," $ 282,842.00 ",0.09%,0.02%,18.69%,5.37%,N/A,N/A,148," $ 323,872.00 ",0.12%,0.01%,24.26%,6.15%,N/A,N/A,101," $ 224,605.00 ",0.09%,0.01%,16.56%,4.27%,N/A,N/A,126," $ 3,474,668.00 ",0.08%,0.05%,20.66%,66.02%,N/A,N/A,610," $ 5,262,872.00 ", N/A , N/A 
Confidence Fraud / Romance,393," $ 3,057,718.00 ",1.31%,4.56%,1.81%,0.36%,36.03%,312.09%,"1,886"," $ 25,097,693.00 ",1.86%,4.45%,8.68%,2.92%,154.72%,227.81%,"2,501"," $ 42,460,967.00 ",2.01%,2.43%,11.51%,4.93%,137.86%,136.93%,"3,010"," $ 74,644,396.00 ",2.42%,2.52%,13.86%,8.67%,66.54%,115.11%,"3,745"," $ 131,385,454.00 ",3.45%,3.57%,17.24%,15.27%,158.35%,159.32%,"10,188"," $ 584,032,745.00 ",6.08%,7.82%,46.90%,67.86%,133.60%,150.02%,"21,723"," $ 860,678,973.00 ",141.50%,153.53%
Credit Card / Check Fraud,451," $ 606,192.00 ",1.50%,0.90%,2.83%,0.30%,-310.51%,74.28%,"1,760"," $ 6,076,760.00 ",1.73%,1.08%,11.04%,2.97%,145.94%,132.64%,"2,767"," $ 32,039,262.00 ",2.22%,1.84%,17.35%,15.68%,163.73%,324.90%,"2,958"," $ 49,971,180.00 ",2.38%,1.69%,18.55%,24.45%,178.55%,193.23%,"2,810"," $ 43,817,766.00 ",2.59%,1.19%,17.62%,21.44%,171.13%,202.29%,"5,200"," $ 71,880,416.00 ",3.10%,0.96%,32.61%,35.17%,161.19%,212.58%,"15,946"," $ 204,391,576.00 ",164.39%,212.45%
Data Breach,21," $ 1,741,450.00 ",0.07%,2.60%,1.00%,0.65%,-36.36%,79.48%,135," $ 4,158,310.00 ",0.13%,0.74%,6.44%,1.55%,91.83%,127.90%,443," $ 72,145,136.00 ",0.36%,4.13%,21.14%,26.82%,123.69%,111.17%,625," $ 64,973,932.00 ",0.50%,2.20%,29.82%,24.16%,42.64%,112.29%,522," $ 77,385,567.00 ",0.48%,2.11%,24.90%,28.77%,129.85%,496.49%,350," $ 48,555,751.00 ",0.21%,0.65%,16.70%,18.05%,116.67%,170.10%,"2,096"," $ 268,960,146.00 ",118.89%,171.05%
Employment,835," $ 1,489,854.00 ",2.78%,2.22%,3.89%,0.47%,38.25%,-24.43%,"4,555"," $ 33,049,422.00 ",4.48%,5.86%,21.22%,10.51%,123.98%,251.55%,"5,025"," $ 42,865,213.00 ",4.03%,2.46%,23.41%,13.63%,172.32%,277.99%,"4,524"," $ 57,604,303.00 ",3.64%,1.95%,21.08%,18.31%,150.17%,481.06%,"3,671"," $ 100,853,442.00 ",3.38%,2.74%,17.10%,32.06%,242.15%,998.32%,"2,853"," $ 78,712,899.00 ",1.70%,1.05%,13.29%,25.02%,147.98%,207.78%,"21,463"," $ 314,575,133.00 ",169.79%,355.90%
Extortion,"13,110"," $ 1,715,733.00 ",43.65%,2.56%,15.58%,1.53%,100.46%,-17.53%,"26,963"," $ 12,179,028.00 ",26.53%,2.16%,32.03%,10.84%,195.23%,103.22%,"15,866"," $ 14,964,819.00 ",12.73%,0.86%,18.85%,13.32%,256.73%,170.49%,"11,279"," $ 13,427,693.00 ",9.07%,0.45%,13.40%,11.96%,177.91%,62.81%,"7,841"," $ 15,710,381.00 ",7.22%,0.43%,9.32%,13.99%,216.60%,201.81%,"9,111"," $ 54,309,050.00 ",5.44%,0.73%,10.82%,48.36%,72.21%,218.09%,"84,170"," $ 112,306,704.00 ",178.80%,174.59%
Government Impersonation,420," $ 8,583,219.00 ",1.40%,12.79%,1.42%,1.24%,160.87%,327.44%,"3,401"," $ 50,358,843.00 ",3.35%,8.94%,11.46%,7.26%,232.62%,146.59%,"5,446"," $ 82,005,707.00 ",4.37%,4.70%,18.36%,11.82%,287.53%,270.81%,"6,136"," $ 55,019,630.00 ",4.93%,1.86%,20.68%,7.93%,243.40%,173.81%,"5,636"," $ 84,516,785.00 ",5.19%,2.30%,19.00%,12.18%,329.40%,451.31%,"8,628"," $ 413,206,251.00 ",5.15%,5.53%,29.08%,59.57%,190.84%,198.56%,"29,667"," $ 693,690,435.00 ",256.48%,220.68%
Harassment / Stalking,"1,827"," $ 218,229.00 ",6.08%,0.33%,9.37%,1.09%,233.39%,321.95%,"4,711"," $ 591,102.00 ",4.63%,0.10%,24.16%,2.94%,282.60%,87.34%,"5,473"," $ 5,343,712.00 ",4.39%,0.31%,28.07%,26.57%,273.91%,244.50%,"4,076"," $ 6,098,635.00 ",3.28%,0.21%,20.91%,30.33%,190.61%,201.86%,"2,249"," $ 4,721,979.00 ",2.07%,0.13%,11.54%,23.48%,227.17%,726.69%,"1,160"," $ 3,134,436.00 ",0.69%,0.04%,5.95%,15.59%,166.67%,439.19%,"19,496"," $ 20,108,093.00 ",259.32%,288.21%
Identity Theft,487," $ 1,547,663.00 ",1.62%,2.31%,1.75%,1.08%,69.10%,473.87%,"3,526"," $ 10,815,080.00 ",3.47%,1.92%,12.67%,7.52%,177.01%,239.15%,"6,498"," $ 19,440,941.00 ",5.21%,1.11%,23.35%,13.53%,183.04%,1487.83%,"6,433"," $ 27,807,082.00 ",5.17%,0.94%,23.11%,19.35%,118.40%,85.65%,"5,528"," $ 35,573,535.00 ",5.09%,0.97%,19.86%,24.75%,205.65%,276.21%,"5,359"," $ 48,546,133.00 ",3.20%,0.65%,19.26%,33.78%,131.87%,170.56%,"27,831"," $ 143,730,434.00 ",176.76%,221.57%
