Crime Type,Complaint, Loss ,Percent of Total Complaints,Percent of Total Loss
Advanced Fee,"2,319"," $ 67,554,554.00 ",1.41%,0.603%
BEC,"1,526"," $ 83,771,329.00 ",0.93%,0.748%
Botnet,53," $ 60,916.00 ",0.03%,0.001%
Charity,65," $ 3,221,048.00 ",0.04%,0.029%
Confidence / Romance,"5,925"," $ 394,787,515.00 ",3.61%,3.524%
Credit Card / Check Fraud,901," $ 13,423,130.00 ",0.55%,0.120%
Data Breach,866," $ 95,861,120.00 ",0.53%,0.856%
Employment,"10,338"," $ 288,199,807.00 ",6.30%,2.573%
Extortion,"23,797"," $ 63,195,612.00 ",14.49%,0.564%
Government Impersonation,"5,955"," $ 281,146,737.00 ",3.63%,2.510%
Harassment / Stalking,711," $ 4,682,411.00 ",0.43%,0.042%
Identity Theft,"1,656"," $ 16,995,129.00 ",1.01%,0.152%
Investment,"61,559"," $ 7,277,868,919.00 ",37.48%,64.974%
IPR / Copyright and Counterfeit,182," $ 4,020,461.00 ",0.11%,0.036%
Lottery / Sweepstakes / Inheritance,826," $ 29,765,165.00 ",0.50%,0.266%
Malware,196," $ 15,693,486.00 ",0.12%,0.140%
Non-Payment / Non-Delivery,"4,761"," $ 76,196,341.00 ",2.90%,0.680%
Other,"2,332"," $ 147,700,762.00 ",1.42%,1.319%
Overpayment,304," $ 6,356,416.00 ",0.19%,0.057%
Personal Data Breach,"13,486"," $ 939,398,686.00 ",8.21%,8.387%
Phishing / Spoofing,"7,164"," $ 111,025,191.00 ",4.36%,0.991%
Ransomware,902," $ 17,068,810.00 ",0.55%,0.152%
Real Estate,715," $ 25,169,423.00 ",0.44%,0.225%
SIM Swap,121," $ 4,405,259.00 ",0.07%,0.039%
Tech / Customer Support,"17,355"," $ 1,226,298,080.00 ",10.57%,10.948%
Threats of Violence,210," $ 7,375,785.00 ",0.13%,0.066%
Total,"164,225"," $ 11,201,242,092.00 ",100.00%,100.00%
Descriptors:,Not included in Totals,,,
AI Related,"8,712"," $ 741,639,787.00 ",5.30%,6.621%
Crimes Against Children,276," $ 596,843.00 ",0.17%,0.005%
