Crime Type,2020 Victims,2020 Loss,2020 Percent of Total Victims,2020 Percent of Total Loss,2021 Victims,2021 Loss,2021 Percent of Total Victims,2021 Percent of Total Loss,2021 Annual Percent Change Victims,2021 Annual Percent Change Loss,2022 Victims,2022 Loss,2022 Percent of Total Victims,2022 Percent of Total Loss,2022 Annual Percent Change Victims,2022 Annual Percent Change Loss,2023 Victims,2023 Loss,2023 Percent of Total Victims,2023 Percent of Total Loss,2023 Annual Percent Change Victims,2023 Annual Percent Change Loss,2024 Victims,2024 Loss,2024 Percent of Total Victims,2024 Percent of Total Loss,2024 Annual Percent Change Victims,2024 Annual Percent Change Loss,2025 Victims,2025 Loss,2025 Percent of Total Victims,2025 Percent of Total Loss,2025 Annual Percent Change Victims,2025 Annual Percent Change Loss
Advanced Fee,"3,008"," $ 33,184,114.00 ",2.53%,2.92%,"3,029"," $ 36,464,491.00 ",3.23%,1.92%,0.70%,9.89%,"3,153"," $ 49,322,099.00 ",3.53%,1.50%,4.09%,35.26%,"1,951"," $ 67,923,263.00 ",2.57%,2.03%,-38.12%,37.71%,"1,897"," $ 41,622,868.00 ",1.67%,0.90%,-2.77%,-38.72%,"2,020"," $ 65,877,660.00 ",1.21%,0.88%,6.48%,58.27%
Business Email Compromise (BEC),"3,530"," $ 168,793,903.00 ",2.97%,14.83%,"3,755"," $ 355,805,098.00 ",4.00%,18.76%,6.37%,110.79%,"3,938"," $ 477,342,728.00 ",4.41%,14.51%,4.87%,34.16%,"3,080"," $ 382,372,731.00 ",4.06%,11.41%,-21.79%,-19.90%,"3,300"," $ 385,001,099.00 ",2.90%,8.33%,7.14%,0.69%,"4,566"," $ 568,048,472.00 ",2.73%,7.60%,38.36%,47.54%
Botnet,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,33," $ 120,621.00 ",0.04%,0.00%,N/A,N/A,17," $ 23,142.00 ",0.02%,0.00%,-48.48%,-80.81%,23," $ 14,852.00 ",0.02%,0.00%,35.29%,-35.82%,36," $ 945,812.00 ",0.02%,0.01%,56.52%,6268.25%
Charity,105," $ 629,295.00 ",0.09%,0.06%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,126," $ 3,474,668.00 ",0.08%,0.05%,N/A,N/A
Civil Matter,170," $ 1,866,788.00 ",0.14%,0.16%,184," $ 6,530,661.00 ",0.20%,0.34%,8.24%,249.83%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Computer Intrusion,0, $ -   ,0.00%,0.00%,176," $ 4,575,956.00 ",0.19%,0.24%,N/A,N/A,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Confidence Fraud / Romance,"6,817"," $ 281,134,006.00 ",5.74%,24.70%,"7,658"," $ 432,081,901.00 ",8.16%,22.78%,12.34%,53.69%,"7,166"," $ 419,768,142.00 ",8.03%,12.76%,-6.42%,-2.85%,"6,740"," $ 356,888,968.00 ",8.88%,10.65%,-5.94%,-14.98%,"7,626"," $ 389,312,356.00 ",6.70%,8.42%,13.15%,9.09%,"10,188"," $ 584,032,745.00 ",6.10%,7.82%,33.60%,50.02%
Credit Card / Check Fraud,"3,195"," $ 20,780,800.00 ",2.69%,1.83%,"3,164"," $ 39,019,072.00 ",3.37%,2.06%,-0.97%,87.77%,"4,956"," $ 61,649,198.00 ",5.55%,1.87%,56.64%,58.00%,"3,182"," $ 37,862,023.00 ",4.19%,1.13%,-35.79%,-38.58%,"3,226"," $ 33,813,267.00 ",2.83%,0.73%,1.38%,-10.69%,"5,200"," $ 71,880,416.00 ",3.11%,0.96%,61.19%,112.58%
Crimes Against Children,58," $ 411,349.00 ",0.05%,0.04%,42, $ 550.00 ,0.04%,0.00%,-27.59%,-99.87%,84," $ 48,373.00 ",0.09%,0.00%,100.00%,8695.09%,26," $ 1,159,939.00 ",0.03%,0.03%,-69.05%,2297.91%,25," $ 231,600.00 ",0.02%,0.01%,-3.85%,-80.03%,0, $ -   ,0.00%,0.00%,N/A,N/A
Data Breach,285," $ 10,148,817.00 ",0.24%,0.89%,158," $ 7,095,746.00 ",0.17%,0.37%,-44.56%,-30.08%,333," $ 17,681,749.00 ",0.37%,0.54%,110.76%,149.19%,336," $ 23,913,130.00 ",0.44%,0.71%,0.90%,35.24%,300," $ 28,546,213.00 ",0.26%,0.62%,-10.71%,19.37%,350," $ 48,555,751.00 ",0.21%,0.65%,16.67%,70.10%
