Crime Type,2020 Victims,2020 Loss,2020 Percent of Total Victims,2020 Percent of Total Loss,2021 Victims,2021 Loss,2021 Percent of Total Victims,2021 Percent of Total Loss,2021 Annual Percent Change Victims,2021 Annual Percent Change Loss,2022 Victims,2022 Loss,2022 Percent of Total Victims,2022 Percent of Total Loss,2022 Annual Percent Change Victims,2022 Annual Percent Change Loss,2023 Victims,2023 Loss,2023 Percent of Total Victims,2023 Percent of Total Loss,2023 Annual Percent Change Victims,2023 Annual Percent Change Loss,2024 Victims,2024 Loss,2024 Percent of Total Victims,2024 Percent of Total Loss,2024 Annual Percent Change Victims,2024 Annual Percent Change Loss,2025 Victims,2025 Loss,2025 Percent of Total Victims,2025 Percent of Total Loss,2025 Annual Percent Change Victims,2025 Annual Percent Change Loss
Advanced Fee,"13,020"," $ 83,215,405.00 ",1.67%,1.65%,"11,034"," $ 98,694,137.00 ",1.42%,1.19%,-15.25%,18.60%,"11,264"," $ 104,325,444.00 ",1.55%,0.95%,2.08%,5.71%,"8,045"," $ 134,516,557.00 ",1.16%,1.09%,-28.58%,28.94%,"7,097"," $ 102,074,512.00 ",1.09%,0.63%,-11.78%,-24.12%,"7,762"," $ 155,910,852.00 ",1.01%,0.77%,9.37%,52.74%
Business Email Compromise (BEC),"19,369"," $ 1,866,642,107.00 ",2.48%,36.99%,"19,954"," $ 2,395,953,296.00 ",2.57%,28.96%,3.02%,28.36%,"21,832"," $ 2,742,354,049.00 ",3.01%,25.09%,9.41%,14.46%,"21,489"," $ 2,946,830,270.00 ",3.11%,23.87%,-1.57%,7.46%,"21,442"," $ 2,770,151,146.00 ",3.29%,17.22%,-0.22%,-6.00%,"24,768"," $ 3,046,598,558.00 ",3.22%,15.01%,15.51%,9.98%
Botnet,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,568," $ 17,099,378.00 ",0.08%,0.16%,N/A,N/A,540," $ 22,422,708.00 ",0.08%,0.18%,-4.93%,31.13%,587," $ 8,860,202.00 ",0.09%,0.06%,8.70%,-60.49%,715," $ 13,859,049.00 ",0.09%,0.07%,21.81%,56.42%
Charity,659," $ 4,428,766.00 ",0.08%,0.09%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,662," $ 7,907,609.00 ",0.09%,0.04%,N/A,N/A
Civil Matter,968," $ 24,915,958.00 ",0.12%,0.49%,"1,118"," $ 85,049,939.00 ",0.14%,1.03%,15.50%,241.35%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Confidence Fraud / Romance,"23,751"," $ 600,249,821.00 ",3.04%,11.89%,"24,299"," $ 956,039,739.00 ",3.13%,11.56%,2.31%,59.27%,"19,021"," $ 735,882,192.00 ",2.63%,6.73%,-21.72%,-23.03%,"17,823"," $ 652,544,805.00 ",2.58%,5.28%,-6.30%,-11.32%,"17,910"," $ 672,009,052.00 ",2.75%,4.18%,0.49%,2.98%,"23,159"," $ 929,287,469.00 ",3.01%,4.58%,29.31%,38.28%
Credit Card / Check Fraud,"17,614"," $ 129,820,792.00 ",2.26%,2.57%,"16,750"," $ 172,998,385.00 ",2.16%,2.09%,-4.91%,33.26%,"22,985"," $ 264,148,905.00 ",3.17%,2.42%,37.22%,52.69%,"13,718"," $ 173,627,614.00 ",1.98%,1.41%,-40.32%,-34.27%,"12,876"," $ 199,889,841.00 ",1.98%,1.24%,-6.14%,15.13%,"18,774"," $ 282,670,235.00 ",2.44%,1.39%,45.81%,41.41%
Crimes Against Children,"3,202"," $ 660,044.00 ",0.41%,0.01%,"2,167"," $ 198,950.00 ",0.28%,0.00%,-32.32%,-69.86%,"2,587"," $ 577,464.00 ",0.36%,0.01%,19.38%,190.26%,"2,361"," $ 2,031,485.00 ",0.34%,0.02%,-8.74%,251.79%,"4,472"," $ 519,424.00 ",0.69%,0.00%,89.41%,-74.43%,0, $ -   ,0.00%,0.00%,N/A,N/A
Data Breach,"2,794"," $ 128,916,648.00 ",0.36%,2.55%,"1,287"," $ 151,568,225.00 ",0.17%,1.83%,-53.94%,17.57%,"2,795"," $ 459,321,859.00 ",0.39%,4.20%,117.17%,203.05%,"3,727"," $ 534,397,222.00 ",0.54%,4.33%,33.35%,16.34%,"3,204"," $ 364,855,818.00 ",0.49%,2.27%,-14.03%,-31.73%,"3,963"," $ 435,240,992.00 ",0.52%,2.14%,23.69%,19.29%
Denial of Service / Telephony Denial of Service ,"2,018"," $ 512,127.00 ",0.26%,0.01%,"1,104"," $ 217,981.00 ",0.14%,0.00%,-45.29%,-57.44%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
