Crime Type,Count, Loss ,Percent of Total Count,Percent of Total Loss
Advanced Fee,102," $ 23,765.00 ",0.81%,0.18%
BEC,4," $ 10,750.00 ",0.03%,0.08%
Botnet,65, $ 82.00 ,0.51%,0.00%
Charity,16," $ 4,552.00 ",0.13%,0.04%
Confidence / Romance,57," $ 75,440.00 ",0.45%,0.58%
Credit Card / Check Fraud,125," $ 121,506.00 ",0.99%,0.94%
Data Breach,9," $ 1,693,400.00 ",0.07%,13.04%
Employment,246," $ 106,727.00 ",1.95%,0.82%
Extortion,"5,151"," $ 468,831.00 ",40.78%,3.61%
Government Impersonation,99," $ 1,412,003.00 ",0.78%,10.87%
Harassment / Stalking,"1,053"," $ 203,807.00 ",8.34%,1.57%
Identity Theft,181," $ 510,553.00 ",1.43%,3.93%
Investment,237," $ 4,743,664.00 ",1.88%,36.52%
IPR / Copyright and Counterfeit,42," $ 72,188.00 ",0.33%,0.56%
Lottery / Sweepstakes / Inheritance,13, $ 488.00 ,0.10%,0.00%
Malare,29, $ 35.00 ,0.23%,0.00%
Non-payment / Non-Delivery,825," $ 648,538.00 ",6.53%,4.99%
Other,"1,460"," $ 1,810,134.00 ",11.56%,13.94%
Overpayment,164," $ 61,918.00 ",1.30%,0.48%
Personal Data Breach,"1,510"," $ 500,264.00 ",11.95%,3.85%
Phishing / Spoofing,878," $ 77,852.00 ",6.95%,0.60%
Ransomware,5, $ -   ,0.04%,0.00%
Real Estate,23," $ 43,861.00 ",0.18%,0.34%
SIM Swap,1, $ -   ,0.01%,0.00%
Tech Support,85," $ 396,487.00 ",0.67%,3.05%
Threats of Violence,251," $ 1,547.00 ",1.99%,0.01%
Total ,"12,631"," $ 12,988,392.00 ",100.00%,100.00%
Descriptors:,Not included in Totals,,,
Cryptocurrency,950," $ 5,620,716.00 ",7.52%,43.27%
AI Related,355," $ 126,391.00 ",2.81%,0.97%
Crimes Against Children,"5,200"," $ 298,240.00 ",41.17%,2.30%
